competitor,matched_osm_values,store_name,osm_type,osm_id,latitude,longitude,postcode,city,street,nearest_hilti_store,nearest_hilti_city,distance_to_nearest_hilti_km,threat_band,osm_source_url,data_source,retrieved_utc
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,5357958064,51.4316337,-0.0328412,,,,Hilti Store Southwark,London,9.38,5-10 km metro overlap,https://www.openstreetmap.org/node/5357958064,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,13691314142,51.5323649,0.1103514,,,,Hilti Store Edmonton,London,14.07,10-25 km regional catchment,https://www.openstreetmap.org/node/13691314142,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,7996764010,53.586713,-2.4275844,,,,Hilti Store Manchester,Manchester,16.43,10-25 km regional catchment,https://www.openstreetmap.org/node/7996764010,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,9955625907,51.2486124,-0.5805254,GU1 1AJ,Guildford,Europa Park Road,Hilti Store Southwark,London,43.73,25+ km lower direct store threat,https://www.openstreetmap.org/node/9955625907,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,13522690773,53.3712739,-1.462791,,,,Hilti Store Manchester,Manchester,55.25,25+ km lower direct store threat,https://www.openstreetmap.org/node/13522690773,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,6790760424,51.6446704,-3.9326775,,,,Hilti Store Cardiff,Cardiff,56.97,25+ km lower direct store threat,https://www.openstreetmap.org/node/6790760424,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,way,1130560444,53.7087835,-1.336365,,,,Hilti Store Manchester,Manchester,67.86,25+ km lower direct store threat,https://www.openstreetmap.org/way/1130560444,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,way,533922841,53.1329768,-1.2377414,,,,Hilti Store Manchester,Manchester,78.66,25+ km lower direct store threat,https://www.openstreetmap.org/way/533922841,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,13274791928,51.776608,-1.4933232,OX28 4GF,Witney,Thorney Leys Park,Hilti Store Birmingham,Birmingham,83.86,25+ km lower direct store threat,https://www.openstreetmap.org/node/13274791928,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,8258515712,51.7548159,-1.2951073,,,,Hilti Store Southwark,London,86.95,25+ km lower direct store threat,https://www.openstreetmap.org/node/8258515712,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
B&Q TradePoint,TradePoint | B&Q TradePoint,TradePoint,node,10686860583,50.7081707,-1.2972987,,,,Hilti Store Southwark,London,121.67,25+ km lower direct store threat,https://www.openstreetmap.org/node/10686860583,OpenStreetMap via Overpass API exact brand/name selectors,2026-04-23
