year,Scotland population mid-year estimate,Great Britain population mid-year estimate,England population mid-year estimate,England and Wales population mid-year estimate,United Kingdom population mid-year estimate,Northern Ireland population mid-year estimate,Wales population mid-year estimate,source,source_url
1971,5235600.0,54387600.0,46411700.0,49152000.0,55928000,1540400.0,2740300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1972,5230600.0,54557700.0,46571900.0,49327100.0,56096700,1539000.0,2755200.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1973,5233900.0,54692900.0,46686200.0,49459000.0,56222900,1530000.0,2772800.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1974,5240800.0,54708700.0,46682700.0,49467900.0,56235600,1526900.0,2785200.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1975,5232400.0,54702200.0,46674400.0,49469800.0,56225700,1523500.0,2795400.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1976,5233400.0,54692600.0,46659900.0,49459200.0,56216100,1523500.0,2799300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1977,5226200.0,54666600.0,46639800.0,49440400.0,56189900,1523300.0,2800600.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1978,5212300.0,54654800.0,46638200.0,49442500.0,56178000,1523200.0,2804300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1979,5203600.0,54711800.0,46698100.0,49508200.0,56240100,1528300.0,2810100.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1980,5193900.0,54796900.0,46787200.0,49603000.0,56329700,1532800.0,2815800.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
1981,5180200.0,54814500.0,46820800.0,49634300.0,56357500,1543000.0,2813500.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
